name,address,domain,website,phone_number,whatsapp_link,category,location,reviews_count,reviews_average,latitude,longitude
Clinica Veterinaria 24H Campinas Caoxonado,"Rua Angelo Vicentim, 550 - Barão Geraldo, Campinas - SP, 13084-460",caoxonado.com.br,https://www.caoxonado.com.br,(19) 3249-2599,https://wa.me/551932492599,veterinária,campinas,392,4.5,-22.8885768,-47.1489505
BELLA VET - CLÍNICA VETERINÁRIA - 24h,"Av. Brasil, 1772 - Jardim Guanabara, Campinas - SP, 13070-178",bellavet.simples.vet.br,https://www.bellavet.simples.vet.br,(19) 98110-9256,https://wa.me/5519981109256,veterinária,campinas,114,5.0,-22.8293443,-47.1545031
Cat & Dog and Other Critters Veterinary Clinic 24 hours,"Av. Dr. Arlindo Joaquim de Lemos, 90 - Vila Lemos, Campinas - SP, 13100-450",,,(19) 99211-8197,https://wa.me/5519992118197,veterinária,campinas,132,4.2,-22.8293443,-47.1545031
Cambuí Veterinary Center - Hospital 24H,"R. Maria Monteiro, 1599 - Cambuí, Campinas - SP, 13025-150",hospitalveterinariocambui.com.br,https://www.hospitalveterinariocambui.com.br,(19) 2515-2300,https://wa.me/551925152300,veterinária,campinas,347,3.9,-22.9237322,-47.1118541
Veterinary Hospital Dr Eicke Bucholtz,"R. Manoel Francisco Mendes, 795 - Jardim do Trevo, Campinas - SP, 13030-110",hospveterinario.com.br,https://www.hospveterinario.com.br,(19) 3272-4699,https://wa.me/551932724699,veterinária,campinas,821,4.3,-22.9237322,-47.1118541
Clínica Veterinária Cãopinas,"Av. Eng. Antônio Francisco de Paula Souza, 3524 - Jardim São Vicente, Campinas - SP, 13044-370",,,(19) 3276-4261,https://wa.me/551932764261,veterinária,campinas,573,4.7,-22.9237322,-47.1118541
Late clinical and Mia Veterinary,"R. Itália, 333 - Vila Andrade Neves, Campinas - SP, 13070-292",,,(19) 3241-0287,https://wa.me/551932410287,veterinária,campinas,,,-22.8964216,-47.1459686
Animal Yin - Clínica Veterinária Animais Silvestres e Exóticos,"Av. Mal. Rondon, 1445 - Jardim Chapadão, Campinas - SP, 13070-172",instagram.com,https://www.instagram.com,(19) 3365-6006,https://wa.me/551933656006,veterinária,campinas,174,4.6,-22.8964216,-47.1459686
Be Wild Medicina e Oncologia de Pets Não Convencionais,"Av. Monte Castelo, 527 - Jardim Proença, Campinas - SP, 13026-241",instagram.com,https://www.instagram.com,(19) 99210-1422,https://wa.me/5519992101422,veterinária,campinas,42,4.9,-22.8964216,-47.1459686
PlanetVet Centro Clínico Veterinário - Unidade 2,"R. Vicente de Marchi, 320 - Jardim Florence, Campinas - SP, 13034-685",planetvet.com.br,https://www.planetvet.com.br,(19) 3203-9562,https://wa.me/551932039562,veterinária,campinas,34,5.0,-22.9375547,-47.2315961
PUC Vet Clínica Veterinária,"Av. Iguatemi, 584 - Vila Brandina, Campinas - SP, 13092-500",puc-campinas.edu.br,https://www.puc-campinas.edu.br,(19) 3343-6999,https://wa.me/551933436999,veterinária,campinas,,,-22.9375547,-47.2315961
Clínica Veterinária LiVet,"Av. Marechal Juarez Távora, 73 - Jardim Campos Elíseos, Campinas - SP, 13060-866",,,(19) 3327-0495,https://wa.me/551933270495,veterinária,campinas,,,-22.893958,-47.102231
Clínica Veterinária da UNIP Campinas,"R. Martinho Calsavara - Swift, Campinas - SP, 13045-760",unip.br,https://www.unip.br,(19) 3776-4080,https://wa.me/551937764080,veterinária,campinas,61,4.4,-22.9264529,-47.1085842
Itacamp Clínica Veterinária - Dra Silvia Magalhães | Cirurgias | Banho e Tosa | Vacina Raiva | V10 | Castração | Farmácia Vet,"R. Pereira Tangerino, 389 - Jardim Guanabara, Campinas - SP, 13073-210",,,(19) 99791-4145,https://wa.me/5519997914145,veterinária,campinas,141,4.9,-22.9264529,-47.1085842
Veterinária Dra. Lorelei,"Av. Jorge Tibiriçá, 1216 - Jardim dos Oliveiras, Campinas - SP, 13044-125",,,(19) 3271-0595,https://wa.me/551932710595,veterinária,campinas,130,4.9,-22.8895835,-47.1440544
Dogs & Cats,"Av. José Pancetti, 799 - Jardim Aurelia, Campinas - SP, 13033-740",,,(19) 98255-4406,https://wa.me/5519982554406,veterinária,campinas,374,4.7,-22.8895835,-47.1440544
PETZI - Atendimento veterinário em domicílio,"Av Noe Vincie Arboreto, Campinas - SP, 13105-652",instagram.com,https://www.instagram.com,(19) 99304-4122,https://wa.me/5519993044122,veterinária,campinas,,,-22.8895835,-47.1440544
Vet Camilo Clínica Veterinária,"R. Ernani Pereira Lopes, 734 - Jardim Flamboyant, Campinas - SP, 13091-132",vetcamilocampinas.com.br,https://www.vetcamilocampinas.com.br,(19) 2121-8328,https://wa.me/551921218328,veterinária,campinas,154,4.9,-22.8791819,-47.1055053
VETERINARY Campo Grande,"Rua Vicente Matallo, 35 - Parque Valenca I, Campinas - SP, 13058-523",,,(19) 3012-5563,https://wa.me/551930125563,veterinária,campinas,216,4.8,-22.9464886,-47.2590078
Dr. Petean Centro Médico Veterinário,"Av. Lafayete Arruda Camargo, 165 - Jardim Santana, Campinas - SP, 13088-540",drpetean.com.br,https://www.drpetean.com.br,(19) 99644-8383,https://wa.me/5519996448383,veterinária,campinas,118,4.8,-22.9464886,-47.2590078
Exotic Pet Veterinary Clinic,"R. Dr. Miguel Penteado, 988 - Jardim Chapadão, Campinas - SP, 13070-118",instagram.com,https://www.instagram.com,(19) 99408-5013,https://wa.me/5519994085013,veterinária,campinas,115,4.8,-22.8520553,-47.1130497
Harmonia Animal Bonfim,"Av. Barão de Monte Alegre, 103 - Jardim Bonfim, Campinas - SP, 13032-525",harmonianimal.com.br,https://www.harmonianimal.com.br,(19) 99267-3135,https://wa.me/5519992673135,veterinária,campinas,98,4.8,-22.9064868,-47.1556278
Clinica veterinária POPULAR Amor de Patas,"R. Hermano Penteado, 392 - Jardim Ipaussurama, Campinas - SP, 13060-800",,,(19) 99293-6388,https://wa.me/5519992936388,veterinária,campinas,70,4.9,-22.9064868,-47.1556278
AcampVet Veterinário em Domicílio Dra. Isabela Andrade,"R. Daniel Moacyr Novaes Lipp, 149 - Jardim Lisa, Campinas - SP, 13058-321",,,(19) 98822-7266,https://wa.me/5519988227266,veterinária,campinas,18,5.0,-22.9104902,-47.1586394
Campinas Veterinary Hospital,"Av. Orosimbo Maia, 2565 - Dae, Campinas - SP, 13024-035",hovetcampinas.com.br,https://www.hovetcampinas.com.br,(19) 3294-3377,https://wa.me/551932943377,veterinária,campinas,,,-22.956959,-47.2599916
Echovet Veterinary Medicine Diagnostic,"Av. Dr. Jesuíno Marcondes Machado, 2051 - Chácara da Barra, Campinas - SP, 13090-723",echovet.com.br,https://www.echovet.com.br,(19) 2513-2323,https://wa.me/551925132323,veterinária,campinas,717,4.9,-22.8868505,-47.1188834
Animaltec - Unid. Campinas,"Av. Francisco José de Camargo Andrade, 562 - Jardim Chapadão, Campinas - SP, 13070-055",animaltec.com.br,https://www.animaltec.com.br,(19) 3242-1453,https://wa.me/551932421453,veterinária,campinas,2871,4.9,-22.8868505,-47.1188834
WN Vet - Centro Veterinário,"R. Henrique Tôrres, 240 - Jardim Santa Lúcia, Campinas - SP, 13060-468",instagram.com,https://www.instagram.com,(19) 2207-1843,https://wa.me/551922071843,veterinária,campinas,264,4.7,-22.8868505,-47.1188834
CLÍNICA VETERINÁRIA BICHOS & CAPRICHOS,"Rua: João José Pereira, 222 - Jardim Aero Continental, Campinas - SP, 13050-140",,,(19) 98233-5559,https://wa.me/5519982335559,veterinária,campinas,90,4.9,-22.9385091,-47.1874537
Bicho de Estimação Clínica veterinária,"Av. Mal. Rondon, 1470 - Jardim Chapadão, Campinas - SP, 13070-173",estimacaopetshop.com.br,https://www.estimacaopetshop.com.br,(19) 3243-5326,https://wa.me/551932435326,veterinária,campinas,299,4.7,-22.9385091,-47.1874537
Dogs and cats,"Av. Dr. Arlindo Joaquim de Lemos, 814 - Jardim Proença, Campinas - SP, 13100-450",,,(19) 3251-8780,https://wa.me/551932518780,veterinária,campinas,155,4.9,-22.9385091,-47.1874537
Saúde Animal,"Av. Dr. Jesuíno Marcondes Machado, 2377 - Chácara da Barra, Campinas - SP, 13090-723",instagram.com,https://www.instagram.com,(19) 3255-4919,https://wa.me/551932554919,veterinária,campinas,166,4.8,-22.9174156,-47.1138191
Cia Animal Dra. Fabíola - Clínica Veterinária,"Av. Papa João XXIII, 298 - Jardim Eulina, Campinas - SP, 13063-600",,,(19) 3243-1418,https://wa.me/551932431418,veterinária,campinas,,,-22.9174156,-47.1138191
"Novavet Clínica Veterinária, Banho e Tosa","Av. Dr. Jesuíno Marcondes Machado, 2366 - Chácara da Barra, Campinas - SP, 13090-723",,,(19) 3294-1126,https://wa.me/551932941126,veterinária,campinas,108,4.8,-22.8898208,-47.1793088
Veterinário 24h Campinas Clínica Bem Mais Pet,"Avenida Transamazônica, 371 - Jardim Garcia, CAMPINAS - SP, 13061-100",,,,,veterinária,campinas,,,-22.8903069,-47.1077932
Clínica Veterinária Petshop 100% Bicho,"Av. Francisco Glicério, 2118 - Vila Lidia, Campinas - SP, 13026-501",cemporcentobicho.com.br,https://www.cemporcentobicho.com.br,(19) 99491-7711,https://wa.me/5519994917711,veterinária,campinas,22,4.8,-22.913205,-47.1779198
Hemoclin Pet | Centro de diagnóstico e tratamento Veterinário | Campinas SP,"R. Jorge Miranda, 119 - Botafogo, Campinas - SP, 13020-180",hemoclinpet.com.br,https://www.hemoclinpet.com.br,(19) 99141-0220,https://wa.me/5519991410220,veterinária,campinas,80,4.6,-22.8971995,-47.1368784
Parque Vet Campinas,"R. Francisco Alves de Almeida, 270 - Parque Industrial, Campinas - SP, 13031-650",,,(19) 99694-8220,https://wa.me/5519996948220,veterinária,campinas,42,4.8,-22.8971995,-47.1368784
Amicão - Cliníca Veterinária,"R. José Gabeta, 898 - Vila Paraiso, Campinas - SP, 13043-400",,,(19) 3342-0608,https://wa.me/551933420608,veterinária,campinas,197,4.9,-22.8971995,-47.1368784
Clínica Veterinária Vila Pet,"Garden Office - R. Adelino Martins, 358 - Mansões Santo Antônio, Campinas - SP, 13087-510",instagram.com,https://www.instagram.com,(19) 99166-1800,https://wa.me/5519991661800,veterinária,campinas,37,4.8,-22.8971995,-47.1368784
Clínica Veterinária Alexandra Pavanello,"R. Dona Licínia Teixeira de Sousa, 386 - Vila Proost de Souza, Campinas - SP, 13033-660",,,(19) 3388-7485,https://wa.me/551933887485,veterinária,campinas,492,4.8,-22.8971995,-47.1368784
Dr Camila Domingues Dermatologia Veterinária Campinas - UniCare Vet Especialidades Veterinárias,"R. Álvaro Muller, 754 - Vila Itapura, Campinas - SP, 13023-181",unicarevet.com.br,https://www.unicarevet.com.br,(19) 3368-7003,https://wa.me/551933687003,veterinária,campinas,31,4.7,-22.8971995,-47.1368784
Nery & Buosi - atendimento veterinário especializado em gatos,"R. Dom Francisco de Campos Barreto, 303 - Nova Campinas, Campinas - SP, 13092-160",neryebuosi.com.br,https://www.neryebuosi.com.br,(19) 99466-3531,https://wa.me/5519994663531,veterinária,campinas,18,5.0,-22.8971995,-47.1368784
Pet Luz Clínica Veterinária e Banho e Tosa Campinas,"Av. Carlos Grimaldi, 194 - Jardim Conceição, Campinas - SP, 13091-000",,,(19) 3207-1098,https://wa.me/551932071098,veterinária,campinas,70,5.0,-22.8971995,-47.1368784
Vet Care Saúde e Estética Animal - Clínica Veterinária,"Av. Dr. Moraes Salles, 3113 - Nova Campinas, Campinas - SP, 13092-493",,,(19) 3251-7127,https://wa.me/551932517127,veterinária,campinas,61,4.9,-22.8971995,-47.1368784
COMPROV DIAGNÓSTICO VETERINÁRIO,"Avenida Onze de Agosto, 244 - Vila Clayton, VALINHOS - SP, 13276-130",labcomprov.com.br,https://www.labcomprov.com.br,,,veterinária,campinas,28,4.8,-22.8971995,-47.1368784
COMPROV DIAGNÓSTICO VETERINÁRIO,"Av. Onze de Agosto, 244 - Vila Clayton, Valinhos - SP, 13276-130",labcomprov.com.br,https://www.labcomprov.com.br,(19) 3869-4080,https://wa.me/551938694080,veterinária,campinas,28,4.8,-22.97762,-47.0638628
HA Pet Clínica Veterinária,"Av. Dr. Ângelo Simões, 1270 - Jardim Leonor, Campinas - SP, 13041-150",movimentohapet.com.br,https://www.movimentohapet.com.br,(19) 98949-1010,https://wa.me/5519989491010,veterinária,campinas,69,4.6,-22.9263178,-47.1301413
Pet Vet,"Av. Senador Saraiva, 662 - Centro, Campinas - SP, 13013-061",,,(19) 98748-6224,https://wa.me/5519987486224,veterinária,campinas,106,4.6,-22.9263178,-47.1301413
PAPET - VETERINÁRIA -Campinas,"R. Nicolau Cerone, 260 - Jardim Santa Genebra, Campinas - SP, 13080-525",veterinariapapet.com,https://www.veterinariapapet.com,(19) 99739-7679,https://wa.me/5519997397679,veterinária,campinas,78,4.6,-22.8572612,-47.1361971
Vetpat Veterinary Laboratory | Unit I: Campinas,"Av. João Erbolato, 154 - Jardim Chapadão, Campinas - SP, 13070-070",tecsa.com.br,https://www.tecsa.com.br,(19) 4062-9232,https://wa.me/551940629232,veterinária,campinas,327,4.7,-22.8572612,-47.1361971
Clínica Veterinária CarvalhoVets,"Av. Ana Beatriz Bierrembach, 864 - Vila Mimosa, Campinas - SP, 13050-060",carvalhovets.com.br,https://www.carvalhovets.com.br,(19) 98337-4487,https://wa.me/5519983374487,veterinária,campinas,202,4.8,-22.8572612,-47.1361971
Pet House - Veterinária e Estética Animal,"Av. Washington Luíz, 264 - Pte. Preta, Campinas - SP, 13041-455",facebook.com,https://www.facebook.com,(19) 2512-0888,https://wa.me/551925120888,veterinária,campinas,72,4.7,-22.9416473,-47.1626732
Animale Pet Care,"Rua Cônego Manoel Garcia, 167 - Jardim Novo Chapadão, Campinas - SP, 13070-036",,,(19) 3217-9394,https://wa.me/551932179394,veterinária,campinas,98,4.9,-22.9416473,-47.1626732
Clínica Veterinária Cambuí,"Av. Ayrton Senna da Silva, 466 - Vila Jequitibas, Campinas - SP, 13026-305",,,(19) 3251-4207,https://wa.me/551932514207,veterinária,campinas,4,3.8,-22.9116919,-47.1177916
VETTORINI ESPECIALIDADES VETERINÁRIAS E ONCORSI CAMPINAS,"Rua Frei Antônio de Pádua, 683 - Jardim Guanabara, Campinas - SP, 13070-330",vettorini.com.br,https://www.vettorini.com.br,(19) 3367-6403,https://wa.me/551933676403,veterinária,campinas,12,5.0,-22.9116919,-47.1177916
Clinica Veterinaria Neo Vet Especializada em Oftalmologia de Câes e Gatos,"R. Alberto Bôsco, 173 - Jardim Aparecida, Campinas - SP, 13068-627",,,(19) 3281-7003,https://wa.me/551932817003,veterinária,campinas,,,-22.9116919,-47.1177916
Vet Baden (Veterinary),"Av. Baden Powell, 937 - Jardim Nova Europa, Campinas - SP, 13040-125",,,(19) 3238-9469,https://wa.me/551932389469,veterinária,campinas,,,-22.8539876,-47.2317293
